k,theta,sigma,v0,rho,T,Strike,Price
0.832937,0.793878,0.523563,0.076558,-0.600089,0.802563,0.702520,0.053573
0.472281,0.674904,0.423671,0.185341,-0.169736,0.238871,1.268040,0.285810
0.868974,0.485936,0.061826,0.353848,-0.534056,0.862746,1.075320,0.276194
0.930156,0.728229,0.541581,0.339628,-0.313186,1.001321,0.976760,0.248595
0.608208,0.201773,0.805812,0.273821,-0.683248,1.950263,0.723800,0.107412
0.669390,0.352031,0.349125,0.367673,-0.135580,0.253821,1.031640,0.138898
0.407237,0.694417,0.717503,0.681303,-0.187357,1.070512,0.914280,0.264293
0.837294,0.515561,0.804227,0.569755,-0.754429,1.650879,0.929000,0.284913
0.857094,0.395718,0.958964,0.213070,-0.624146,1.956013,1.010280,0.265565
0.270420,0.705793,0.857985,0.471952,-0.187159,0.428046,0.835800,0.093516
0.237156,0.282906,0.628206,0.394296,-0.076378,1.784663,1.297240,0.506117
0.752549,0.520143,0.777696,0.217257,-0.625135,1.071471,0.907800,0.161435
0.919464,0.390425,0.982923,0.557589,-0.813236,1.231704,0.925960,0.225136
0.813335,0.586345,0.033017,0.300444,-0.936689,0.874629,0.610280,0.048600
0.875013,0.326198,0.803634,0.199877,-0.889267,1.155421,0.755320,0.087220
0.574052,0.647728,0.358430,0.349029,-0.936392,0.657471,1.130520,0.276030
0.280319,0.148290,0.886992,0.146630,-0.348727,1.052496,0.951720,0.105511
0.894912,0.635088,0.261114,0.028684,-0.810661,0.919288,1.215000,0.314683
0.264975,0.499840,0.206961,0.695286,-0.083110,0.119271,0.798200,0.031599
0.385656,0.151529,0.186270,0.053727,-0.916295,0.711521,0.922840,0.051536
0.219831,0.563751,0.433968,0.671822,-0.873031,1.951796,1.244120,0.557305
0.604842,0.499761,0.116474,0.651836,-0.194386,0.425554,0.965320,0.184223
0.537126,0.515166,0.069153,0.681856,-0.473863,0.595562,0.701320,0.091184
0.809573,0.390662,0.831255,0.324697,-0.015592,1.978438,0.656840,0.119770
0.112713,0.638722,0.749085,0.782976,-0.689188,0.586171,1.258760,0.419886
0.269627,0.724200,0.420602,0.771442,-0.935302,1.641679,1.013240,0.403024
0.656717,0.332518,0.619197,0.016913,-0.376151,0.317263,0.811480,0.004379
0.179934,0.644647,0.626226,0.547556,-0.019949,1.603346,1.035800,0.373017
0.387734,0.289147,0.122910,0.094333,-0.718096,1.212538,0.703400,0.038002
0.882735,0.581605,0.119048,0.284249,-0.849568,0.342946,0.683560,0.018567
0.540690,0.285434,0.909861,0.726728,-0.607909,0.529054,1.187640,0.338537
0.093605,0.703344,0.242898,0.133122,-0.211414,1.523996,0.825640,0.107756
0.781953,0.571414,0.551975,0.533810,-0.096376,0.537679,0.700440,0.067379
0.406050,0.306053,0.842145,0.423525,-0.066577,0.609746,0.805960,0.092896
0.899367,0.654838,0.502872,0.030027,-0.216067,1.352071,1.128280,0.323981
0.188150,0.165670,0.301110,0.176414,-0.595039,0.430346,0.714120,0.015422
0.214584,0.242853,0.577616,0.646859,-0.549797,0.260913,1.188440,0.280348
0.428028,0.032713,0.173499,0.351557,-0.690970,0.705771,1.041160,0.206432
0.200031,0.131700,0.614346,0.271530,-0.910157,1.654904,0.779720,0.120533
0.373974,0.367436,0.112316,0.663686,-0.563458,1.373538,0.694600,0.164986
0.024009,0.348871,0.194982,0.070238,-0.113008,1.692471,1.227160,0.291392
0.643748,0.610045,0.110139,0.432769,-0.296851,1.422221,0.736200,0.167152
0.308139,0.601197,0.770270,0.311188,-0.965101,1.464962,0.727880,0.124441
0.596427,0.405277,0.471984,0.761488,-0.294277,1.262754,0.741000,0.186718
0.527819,0.342946,0.398922,0.078137,-0.832342,1.304537,1.390600,0.430453
0.397932,0.792535,0.161916,0.250121,-0.287447,1.506746,0.777880,0.165201
0.967677,0.663291,0.934314,0.520933,-0.188347,1.064954,1.198040,0.423790
0.799971,0.740948,0.524454,0.013595,-0.424957,0.475004,0.949080,0.073957
0.822147,0.604515,0.152412,0.232030,-0.533560,0.124829,0.786760,0.006740
0.954510,0.545818,0.497328,0.320510,-0.793040,0.827479,0.780760,0.108249
0.599496,0.089987,0.692258,0.211253,-0.545936,1.878579,0.713800,0.073684
0.185379,0.620315,0.546828,0.063523,-0.573358,0.751963,0.959640,0.081893
0.184290,0.483645,0.796605,0.460656,-0.507127,0.767679,0.792680,0.117527
0.702357,0.071818,0.491090,0.130278,-0.420107,0.382429,0.997080,0.081918
0.396645,0.225157,0.427137,0.057993,-0.302494,0.822496,1.287320,0.307218
0.264480,0.061548,0.223592,0.598906,-0.884911,1.727162,0.716840,0.178251
0.582863,0.475271,0.932631,0.450781,-0.576329,1.147946,1.021560,0.264125
0.404168,0.313005,0.267747,0.244117,-0.043807,0.499921,1.399480,0.436969
0.834225,0.462710,0.657114,0.441301,-0.025591,0.738738,1.272760,0.410375
0.190923,0.156190,0.870558,0.675299,-0.461786,0.362879,1.171240,0.294466
0.266657,0.383157,0.219336,0.356297,-0.493961,1.174779,1.047160,0.279504
0.074597,0.293097,0.622860,0.566990,-0.702851,1.785429,0.796680,0.220616
0.078854,0.725938,0.707307,0.612178,-0.662756,0.749471,0.845560,0.167958
0.440997,0.293571,0.963222,0.295388,-0.598208,0.863704,1.070360,0.210647
0.849075,0.113846,0.328236,0.082324,-0.939064,0.449321,1.039880,0.097256
0.199833,0.154847,0.371103,0.014542,-0.580388,1.590696,1.352280,0.356626
0.570786,0.153267,0.747501,0.333308,-0.761459,0.949954,1.312840,0.380839
0.730572,0.340655,0.798981,0.660289,-0.589990,0.960496,0.830680,0.177299
0.612564,0.703739,0.484854,0.519511,-0.923720,0.199196,1.145560,0.217875
0.337146,0.603962,0.526830,0.369648,-0.439906,1.588779,1.124120,0.378061
0.189438,0.443276,0.154491,0.037769,-0.837292,1.290929,0.765160,0.037606
0.464460,0.121508,0.883626,0.223261,-0.176170,1.951221,0.947640,0.169528
0.450699,0.587925,0.818384,0.289068,-0.456439,0.347929,0.944520,0.098266
0.292992,0.516193,0.638106,0.548820,-0.901444,1.017613,1.203080,0.390787
0.064698,0.369648,0.510692,0.675772,-0.127264,1.412829,1.259880,0.544779
0.628404,0.039349,0.217752,0.249726,-0.415552,1.157912,0.617160,0.031239
0.874121,0.317113,0.210030,0.282116,-0.299426,1.846571,0.606680,0.084284
0.095387,0.310872,0.248540,0.739289,-0.613552,0.330296,0.988280,0.186075
0.101526,0.766070,0.459708,0.728545,-0.171616,0.925421,1.001240,0.313517
0.085784,0.370833,0.570786,0.050488,-0.786902,0.661113,1.383960,0.384246
0.708593,0.569202,0.959855,0.138652,-0.274577,0.249796,1.196600,0.216740
0.070142,0.090146,0.201219,0.254071,-0.824521,1.443496,0.875080,0.159467
0.555441,0.326040,0.354174,0.180522,-0.157360,0.439546,0.620280,0.006042
0.725423,0.176730,0.418821,0.740790,-0.793238,1.609096,0.898200,0.267856
0.965400,0.760066,0.171420,0.296178,-0.376547,1.583029,0.612840,0.125689
0.710573,0.438062,0.890159,0.677195,-0.559597,1.990896,0.626520,0.154993
0.326949,0.073950,0.692555,0.243959,-0.578407,0.157604,1.047400,0.102170
0.602762,0.500551,0.653352,0.291912,-0.357241,0.446637,0.667240,0.025363
0.620385,0.178310,0.463767,0.200193,-0.416641,1.245504,1.252040,0.348040
0.546629,0.058309,0.623453,0.547793,-0.642262,0.722254,1.205320,0.344946
0.743441,0.639591,0.444660,0.387739,-0.022918,0.350229,1.001720,0.151766
0.556332,0.637774,0.673944,0.762436,-0.572269,0.844346,0.949320,0.261669
0.634938,0.095359,0.561381,0.514297,-0.408622,1.305688,0.805160,0.155369
0.624345,0.304236,0.192111,0.588557,-0.871942,0.922929,0.775640,0.143545
0.346353,0.798065,0.252402,0.041008,-0.931639,1.048088,0.811960,0.075135
0.640086,0.687228,0.629295,0.640776,-0.531679,0.522729,1.341480,0.456702
0.378329,0.507424,0.885111,0.672376,-0.011731,1.767221,1.035480,0.400157
0.785220,0.637221,0.224385,0.511295,-0.803335,1.711446,1.021800,0.382934
0.562866,0.116373,0.054204,0.283696,-0.718988,0.150704,1.225800,0.244266
0.943422,0.712429,0.690279,0.501262,-0.108553,0.656704,0.898760,0.174374
0.084695,0.516035,0.676419,0.284328,-0.965002,1.499654,0.654120,0.086964
0.148254,0.027814,0.816999,0.601828,-0.962329,1.600471,0.993960,0.286566
0.768786,0.659183,0.091824,0.014701,-0.808483,1.164238,0.660840,0.051840
0.274677,0.475587,0.884120,0.708400,-0.857488,0.127704,0.807400,0.040612
0.375657,0.184709,0.759975,0.457417,-0.891841,1.055371,0.617960,0.074934
0.615039,0.749717,0.966983,0.206118,-0.684040,1.869954,0.738280,0.164292
0.707504,0.366093,0.218346,0.704845,-0.904513,0.836296,1.313720,0.493510
0.015197,0.650572,0.445353,0.237560,-0.803435,0.893988,0.797560,0.084917
0.698298,0.538945,0.164193,0.718196,-0.884516,0.911621,0.803960,0.185332
0.942729,0.231556,0.779577,0.629795,-0.531581,1.969046,0.674120,0.143424
0.556431,0.700974,0.872439,0.674825,-0.824026,1.335204,0.764440,0.197930
0.103109,0.397851,0.457332,0.553797,-0.679685,1.924387,0.788680,0.232599
0.813831,0.707373,0.022721,0.576944,-0.497030,1.975371,1.215240,0.585685
0.699684,0.708479,0.361301,0.637221,-0.476536,1.616571,0.745560,0.225665
0.335462,0.709822,0.771756,0.587450,-0.828580,1.204104,1.237320,0.444224
0.963618,0.011935,0.449511,0.564462,-0.091624,0.769596,1.113960,0.288947
0.544154,0.186052,0.533463,0.721751,-0.385555,1.317954,0.983880,0.309362
0.368331,0.550163,0.777894,0.252491,-0.131620,0.443379,1.244040,0.301239
0.308832,0.396350,0.684834,0.731784,-0.148252,1.649729,0.762680,0.227945
0.512574,0.560749,0.214188,0.332044,-0.641866,0.138437,1.089240,0.140792
0.617217,0.236217,0.048660,0.568491,-0.109048,1.576321,0.917880,0.272703
0.131127,0.550953,0.975893,0.500156,-0.917681,0.416546,0.618360,0.036583
0.954609,0.368779,0.746412,0.668663,-0.375457,1.329071,0.868280,0.230964
0.496734,0.776972,0.060441,0.512796,-0.331996,0.890154,0.988520,0.268926
0.406941,0.145367,0.395061,0.075846,-0.448519,0.380321,0.638360,0.001126
0.338432,0.646306,0.218742,0.449201,-0.375358,1.842929,1.394520,0.650932
0.211416,0.401327,0.506831,0.165907,-0.983417,0.750813,1.016680,0.144546
0.209832,0.479616,0.979062,0.539182,-0.048064,1.648579,0.942360,0.285356
0.165776,0.402591,0.988269,0.280299,-0.213790,1.075688,1.005160,0.192515
0.191219,0.543448,0.558609,0.562882,-0.710573,0.686604,0.896760,0.177235
0.853629,0.647649,0.539502,0.528438,-0.678200,1.643021,0.648200,0.156184
0.652956,0.314901,0.153996,0.546924,-0.283486,1.309713,0.818840,0.194694
0.160925,0.142760,0.328137,0.052226,-0.616819,1.339038,0.708680,0.021216
0.669093,0.181312,0.631472,0.234400,-0.254182,0.134412,1.333080,0.336765
0.814821,0.287883,0.880359,0.167408,-0.357538,1.986487,1.039480,0.256062
0.550590,0.750902,0.570093,0.515245,-0.203495,1.785046,1.247160,0.558118
0.973616,0.384500,0.380409,0.257152,-0.607018,0.787996,0.767640,0.078311
0.608505,0.327699,0.648105,0.531361,-0.008861,1.823188,1.215400,0.489298
0.138057,0.152398,0.608208,0.112739,-0.054302,0.889963,0.604600,0.009659
0.391101,0.501262,0.894615,0.154689,-0.768983,0.820579,0.641000,0.033625
0.804327,0.467687,0.990942,0.028526,-0.229433,1.498121,1.300600,0.406912
0.605634,0.486410,0.046383,0.389477,-0.620285,0.109879,0.784040,0.011045
0.279627,0.294598,0.422088,0.342472,-0.869962,0.122146,1.120120,0.156375
0.683744,0.724279,0.526137,0.746873,-0.284080,1.541629,0.659960,0.184747
0.495843,0.145446,0.109941,0.095123,-0.177457,0.486888,1.139400,0.179198
0.468519,0.607122,0.303486,0.607201,-0.466240,1.035629,0.765400,0.167588
0.378429,0.368226,0.105882,0.537681,-0.037174,1.086037,0.922200,0.240530
0.720375,0.677827,0.107861,0.098125,-0.687208,1.270421,0.953480,0.212009
0.038760,0.476298,0.520593,0.402749,-0.919165,1.771629,0.981800,0.275835
0.635037,0.699552,0.095882,0.785741,-0.083804,1.585521,0.770600,0.261994
0.190329,0.537760,0.027771,0.183840,-0.891049,0.562596,1.256200,0.310973
0.551481,0.117321,0.191517,0.069606,-0.680279,0.141504,0.786040,0.000504
0.061034,0.793009,0.337344,0.427792,-0.191020,0.593263,1.343560,0.440191
0.855708,0.144024,0.848778,0.281958,-0.248044,0.090329,1.007960,0.066498
0.928968,0.639749,0.013416,0.646543,-0.587120,0.379171,1.006600,0.199263
0.213495,0.226105,0.268143,0.199245,-0.807196,1.385996,0.843480,0.122800
0.381003,0.526147,0.580191,0.596931,-0.857687,0.085537,1.226200,0.247791
0.281112,0.287646,0.010545,0.022680,-0.551975,1.112104,0.917800,0.062950
0.063807,0.553323,0.776013,0.757301,-0.865012,1.371046,1.154680,0.430290
0.031434,0.214097,0.157560,0.110054,-0.065785,1.841779,1.036680,0.199098
0.747599,0.492414,0.150531,0.351715,-0.459805,0.892838,0.819720,0.132332
0.038859,0.711560,0.782547,0.473533,-0.197059,1.231321,0.837640,0.182630
0.084993,0.697182,0.518711,0.776498,-0.692357,1.441579,1.282360,0.567466
0.177063,0.646859,0.541482,0.725859,-0.247054,0.551288,1.352440,0.491324
0.198051,0.539024,0.142413,0.273584,-0.527125,0.139779,0.995320,0.075797
0.723939,0.661632,0.369123,0.697893,-0.471982,0.989054,1.334440,0.549664
0.593654,0.641171,0.080043,0.390267,-0.576032,0.332979,1.348120,0.397767
0.585537,0.043457,0.636423,0.291596,-0.410107,1.230746,0.629400,0.046610
0.855312,0.517456,0.279231,0.340971,-0.033115,0.929446,1.101720,0.303005
0.290022,0.348555,0.945798,0.557510,-0.290020,0.870221,0.785560,0.135686
0.041334,0.050251,0.071826,0.688176,-0.233293,1.104821,0.719000,0.165525
0.508811,0.140311,0.984804,0.445883,-0.538511,1.594146,0.983320,0.230806
0.986685,0.765122,0.313781,0.323038,-0.849766,0.662646,0.759320,0.091805
0.233493,0.139995,0.090041,0.397851,-0.012424,1.317762,0.686120,0.101977
0.253787,0.086986,0.787200,0.152240,-0.648301,0.152429,0.835960,0.011515
0.148749,0.601987,0.413178,0.180206,-0.141818,0.458329,1.191000,0.244070
0.114000,0.322011,0.099150,0.792851,-0.189238,1.971921,1.086840,0.516752
0.417336,0.670243,0.389022,0.521170,-0.207950,1.790221,0.898840,0.308679
0.360906,0.554982,0.361599,0.477009,-0.268240,1.655479,1.109480,0.414203
0.827394,0.380629,0.998961,0.455521,-0.768190,0.960879,0.886680,0.167838
0.455946,0.440748,0.945105,0.394770,-0.835906,1.677713,0.946040,0.233597
0.826403,0.247514,0.259233,0.169620,-0.128551,0.897246,0.981000,0.152150
0.055689,0.726649,0.432681,0.515324,-0.440105,0.295413,1.386280,0.432649
0.080141,0.610124,0.065985,0.497628,-0.555934,1.707996,0.684680,0.165860
0.274182,0.276981,0.559895,0.501736,-0.627016,1.130121,1.155880,0.362794
0.950550,0.717564,0.960747,0.151687,-0.159044,1.690171,1.230760,0.473317
0.758193,0.025761,0.596723,0.263393,-0.741460,1.475696,1.306600,0.361244
0.925701,0.128935,0.257252,0.711402,-0.873922,1.922854,0.827720,0.224030
0.652460,0.073239,0.634245,0.084932,-0.737302,0.282188,1.227080,0.228554
0.962232,0.790797,0.441096,0.209594,-0.027373,0.131154,1.067800,0.112297
0.074994,0.040692,0.437730,0.372729,-0.476932,1.405738,1.396040,0.532224
0.974112,0.328173,0.063312,0.679091,-0.478814,1.872254,1.106920,0.440930
0.391398,0.451650,0.928770,0.412466,-0.271805,1.303004,0.775480,0.143020
0.327344,0.269950,0.014406,0.669927,-0.897188,0.891879,1.378360,0.562245
0.993120,0.109027,0.114198,0.619287,-0.505741,1.884521,1.210360,0.453023
0.222207,0.588241,0.036285,0.252096,-0.716017,0.457946,0.834600,0.061667
0.426642,0.339865,0.962628,0.658788,-0.587911,1.029879,1.160280,0.370645
0.817493,0.191661,0.194487,0.092278,-0.756112,0.155879,1.180520,0.184805
0.244383,0.195453,0.612761,0.197665,-0.600187,1.498888,1.064920,0.218688
0.315960,0.308976,0.982527,0.113608,-0.671566,1.929946,0.653400,0.055747
0.640482,0.352821,0.409911,0.319799,-0.338728,1.593571,0.894120,0.211796
0.429711,0.680750,0.356253,0.600802,-0.320414,1.901771,0.948120,0.367649
0.440601,0.070238,0.621375,0.057361,-0.573061,1.130887,0.708200,0.018214
0.571677,0.771600,0.750768,0.643541,-0.589792,1.879921,1.165880,0.504759
0.892041,0.186131,0.059253,0.664081,-0.149639,1.490263,0.805720,0.199092
0.637512,0.183287,0.547718,0.050014,-0.454756,1.322746,0.836440,0.060969
0.071033,0.553086,0.482280,0.198850,-0.664834,1.466687,0.873640,0.139198
0.860757,0.667557,0.988467,0.516509,-0.665131,0.112179,0.921800,0.059493
0.611573,0.371939,0.178152,0.757538,-0.235075,1.912696,1.008280,0.409631
0.258144,0.683594,0.353976,0.716932,-0.666517,0.716888,1.152520,0.372705
0.887883,0.514692,0.540887,0.090936,-0.471586,0.297137,1.160120,0.185608
0.221316,0.475192,0.767895,0.713535,-0.660082,1.899088,1.089720,0.424018
0.218940,0.042509,0.170430,0.561144,-0.020245,1.179379,0.964200,0.275022
0.553956,0.397219,0.303684,0.374388,-0.208840,0.114287,1.235240,0.253094
0.416445,0.332123,0.633354,0.784635,-0.512474,1.166154,0.950040,0.295052
0.048660,0.054280,0.515147,0.502289,-0.572071,0.904721,1.043160,0.274173
0.508217,0.704687,0.096972,0.489807,-0.037967,0.415971,0.634520,0.030911
0.622167,0.541157,0.236859,0.389635,-0.711859,1.172096,1.319080,0.492950
0.516534,0.790560,0.786308,0.229423,-0.913027,1.396346,0.864200,0.185113
0.248442,0.296889,0.064599,0.113530,-0.590485,0.717079,1.180600,0.239336
0.960944,0.412386,0.557322,0.058230,-0.057766,1.696496,1.359080,0.498502
0.358629,0.208172,0.973815,0.772864,-0.986287,1.665063,1.083320,0.354389
0.052422,0.756037,0.866004,0.026392,-0.335758,1.574979,1.300680,0.319285
0.023712,0.338364,0.948471,0.063128,-0.750172,0.152813,0.863400,0.006883
0.672063,0.141733,0.603456,0.500393,-0.381397,0.904338,0.867160,0.157116
0.579993,0.777762,0.425652,0.092594,-0.141917,0.954554,0.927640,0.149655
0.612861,0.301708,0.808088,0.051199,-0.003712,1.342104,0.819240,0.067893
0.496338,0.124116,0.994308,0.741106,-0.487327,0.824029,0.799720,0.154546
0.064400,0.180601,0.446937,0.062575,-0.010642,0.295796,0.934040,0.025155
0.251510,0.103497,0.672558,0.508056,-0.364667,1.394813,1.369800,0.535697
0.630186,0.400300,0.054105,0.378812,-0.275962,1.359546,0.736520,0.134228
0.638006,0.222787,0.715920,0.299970,-0.106573,1.877238,0.857000,0.175086
0.444858,0.307238,0.256263,0.204064,-0.222503,1.317379,0.930600,0.173161
0.301209,0.666056,0.969360,0.581447,-0.008761,0.423254,1.363080,0.453019
0.361301,0.229265,0.146571,0.735418,-0.049252,1.736554,1.030600,0.411871
0.998367,0.073082,0.171221,0.245697,-0.851944,1.823954,0.830120,0.117037
0.638304,0.479932,0.011732,0.674509,-0.643649,1.222313,1.357800,0.596317
0.401099,0.551664,0.052818,0.049777,-0.050638,1.152546,1.371240,0.432996
0.247155,0.231714,0.272103,0.655707,-0.879070,0.979663,0.809320,0.183303
0.556827,0.381419,0.572469,0.354480,-0.809968,0.557229,1.118120,0.238076
0.956490,0.197665,0.177558,0.715826,-0.307246,1.767413,1.127400,0.427783
0.890754,0.219469,0.183102,0.758091,-0.671666,1.325046,0.920120,0.270872
0.818682,0.697972,0.770172,0.353769,-0.767101,0.541896,1.059160,0.211737
0.467232,0.310318,0.220425,0.167645,-0.498613,0.894371,0.843880,0.086744
0.675824,0.773496,0.097565,0.143945,-0.948371,1.722371,1.073160,0.367227
0.515445,0.669453,0.745421,0.392953,-0.333283,1.004387,1.137720,0.336853
0.194388,0.461761,0.740274,0.487674,-0.606722,0.781863,1.036120,0.245533
0.903327,0.073635,0.147165,0.746083,-0.497524,1.484129,1.369080,0.576663
0.693743,0.122457,0.373677,0.796248,-0.976487,1.701288,0.831800,0.239752
0.992625,0.497865,0.040739,0.285118,-0.508414,1.515371,0.722600,0.139871
0.774627,0.050962,0.276063,0.487753,-0.003316,0.378787,0.709640,0.036831
0.123603,0.432058,0.234483,0.610361,-0.221017,0.631021,0.959960,0.216712
0.829572,0.426449,0.721860,0.498497,-0.722552,0.385688,0.614440,0.027816
0.256064,0.139205,0.421197,0.178942,-0.483170,1.229213,1.068200,0.208627
0.889467,0.558694,0.585141,0.525831,-0.748390,1.776038,0.813400,0.239407
0.091130,0.357324,0.335562,0.378654,-0.619987,0.802946,0.635080,0.053429
0.851352,0.741027,0.546531,0.083352,-0.678991,1.490454,0.983960,0.264262
0.332592,0.145841,0.586329,0.538234,-0.091031,0.286404,0.623960,0.016878
0.037176,0.718591,0.106674,0.643935,-0.151321,0.420763,0.973960,0.189790
0.206466,0.043694,0.852341,0.530492,-0.771755,1.045213,1.052120,0.269549
0.747402,0.415863,0.618899,0.660763,-0.736807,0.187121,1.285560,0.332361
0.610188,0.341050,0.473568,0.397298,-0.104593,1.885671,1.122600,0.398617
0.036581,0.634140,0.313484,0.380787,-0.566429,1.807088,1.233640,0.463774
0.070440,0.276507,0.082221,0.365382,-0.239332,1.987829,0.844360,0.228685
0.432483,0.666293,0.963519,0.201378,-0.081328,0.649804,1.393000,0.444468
0.538710,0.365856,0.152312,0.582869,-0.035491,1.961188,1.019960,0.392051
0.998169,0.280378,0.166569,0.705556,-0.831155,1.977863,1.166360,0.476461
0.606920,0.217257,0.601872,0.696313,-0.521879,1.957163,0.881960,0.275916
0.097665,0.399668,0.448422,0.296415,-0.824323,1.028154,0.833800,0.125775
0.900258,0.595430,0.696516,0.135413,-0.112909,0.083429,1.370760,0.370887
0.788784,0.693548,0.833829,0.632086,-0.782842,0.098763,0.790680,0.023376
0.043116,0.395955,0.306357,0.149554,-0.521087,0.629679,0.720680,0.023398
0.722157,0.541077,0.156075,0.371544,-0.350213,0.991163,0.673960,0.085845
0.089745,0.084221,0.354668,0.340339,-0.360904,1.414554,1.372440,0.513870
0.734730,0.100732,0.966786,0.308739,-0.031729,1.774888,0.644440,0.060488
0.261807,0.107842,0.599990,0.768440,-0.750767,0.442996,1.039560,0.240452
0.780369,0.490597,0.462975,0.598511,-0.174883,1.504254,0.738440,0.186661
0.393180,0.585318,0.532671,0.385685,-0.060241,1.082204,0.731560,0.114639
0.236760,0.206592,0.032324,0.418706,-0.528512,1.648004,1.196040,0.443273
0.406643,0.181628,0.366747,0.033661,-0.394169,0.779563,1.242920,0.254725
0.437136,0.027419,0.613850,0.213543,-0.870062,1.113637,0.946840,0.128314
0.136176,0.515324,0.016089,0.239219,-0.624838,0.119654,0.789560,0.005698
0.244581,0.768440,0.590882,0.296020,-0.887386,1.650688,0.809800,0.176472
0.023117,0.577102,0.353580,0.786452,-0.135085,0.965288,1.277080,0.529994
0.966390,0.255967,0.250818,0.458286,-0.406346,0.627571,0.912920,0.149584
0.717108,0.068183,0.865113,0.309371,-0.682951,1.652988,0.678760,0.071999
0.362193,0.472190,0.078161,0.148527,-0.192406,1.046363,1.253000,0.354251
0.992823,0.081614,0.032820,0.417048,-0.939461,0.171788,1.397720,0.411391
0.609396,0.361195,0.639788,0.565568,-0.417434,0.288704,0.647880,0.024807
0.674142,0.730441,0.312792,0.448806,-0.035987,1.582646,1.322360,0.594672
0.643155,0.449991,0.251213,0.237165,-0.337738,0.958963,0.812200,0.108819
0.944016,0.602698,0.821850,0.799092,-0.113305,1.954288,0.943080,0.382110
0.509108,0.781159,0.152708,0.756037,-0.669191,0.420188,1.326840,0.449561
0.615930,0.602224,0.761459,0.046538,-0.722353,1.864779,1.223880,0.383399
0.352293,0.795616,0.574151,0.077663,-0.789179,1.384271,1.164680,0.297392
0.609594,0.657524,0.161124,0.210621,-0.701662,0.564704,0.804040,0.065765
0.560192,0.144893,0.680774,0.302656,-0.275369,1.905796,1.146280,0.330612
0.258935,0.796564,0.015395,0.781870,-0.866498,1.806129,0.835160,0.332437
0.581280,0.671428,0.242997,0.177994,-0.510889,0.179071,1.222520,0.236776
0.221514,0.410728,0.067964,0.316955,-0.770962,1.414171,0.946280,0.232470
0.595338,0.609097,0.573855,0.728150,-0.069943,0.705388,1.113560,0.347216
0.993912,0.321932,0.532770,0.723094,-0.925304,1.961379,1.007240,0.352857
0.298734,0.098362,0.508910,0.109975,-0.206365,0.659963,0.812440,0.031333
0.063509,0.695918,0.652560,0.791192,-0.816502,1.845996,0.727960,0.236913
0.719979,0.748769,0.331602,0.355112,-0.409118,1.386571,0.682120,0.137835
0.579497,0.637853,0.618405,0.777604,-0.360113,0.781671,0.819320,0.185092
0.064994,0.383552,0.349521,0.055307,-0.153797,0.356171,0.641320,0.000226
0.650382,0.403855,0.840164,0.103497,-0.955597,1.652221,0.640600,0.068150
0.310119,0.731546,0.090338,0.172701,-0.457825,1.263904,0.664040,0.067016
0.343185,0.445330,0.411891,0.023943,-0.714533,1.059587,1.080040,0.159465
0.200823,0.594719,0.612662,0.622922,-0.475348,1.820121,1.223560,0.521487
0.466836,0.113372,0.330414,0.666846,-0.153400,0.792596,0.649480,0.083645
0.563361,0.506634,0.775220,0.490438,-0.569695,1.649538,0.954760,0.286674
0.271707,0.400616,0.212505,0.085248,-0.897385,0.406579,0.900200,0.039150
0.036779,0.592665,0.332790,0.661000,-0.282892,1.524954,0.600760,0.140186
0.469707,0.267738,0.621869,0.356613,-0.060439,1.878004,0.652280,0.104819
0.194784,0.136835,0.195477,0.755326,-0.438817,1.192029,0.817240,0.230970
0.556233,0.326593,0.329325,0.137941,-0.714433,1.837754,1.078600,0.277240
0.717900,0.408595,0.410406,0.508925,-0.521581,0.109687,0.704760,0.006823
0.663945,0.736761,0.886398,0.433005,-0.360409,0.316688,1.310920,0.363536
0.175974,0.213070,0.483864,0.692205,-0.496930,0.890538,1.373400,0.548285
0.749976,0.715905,0.935898,0.140311,-0.821155,1.378521,0.776760,0.136194
0.966885,0.549689,0.401496,0.159192,-0.003415,1.646854,1.206600,0.437867
0.767597,0.109738,0.388725,0.037137,-0.308138,0.502796,1.267720,0.271569
0.405257,0.523145,0.141423,0.035003,-0.316849,0.797771,1.120600,0.190425
0.534552,0.090699,0.630384,0.027894,-0.318037,1.941638,0.714520,0.024191
0.666915,0.354559,0.308634,0.649782,-0.610384,0.398721,1.056040,0.227170
0.601575,0.465159,0.509505,0.355981,-0.003811,1.167687,1.201480,0.395392
0.683646,0.723015,0.641868,0.111081,-0.333778,1.013204,1.241560,0.360711
0.039254,0.708637,0.337641,0.079322,-0.414859,0.943438,1.066280,0.146638
0.185973,0.253439,0.458124,0.296336,-0.567913,0.663221,1.393160,0.444570
0.556629,0.083114,0.056382,0.113688,-0.673447,1.252404,1.008920,0.148184
0.818781,0.294282,0.519107,0.379286,-0.423373,0.209738,0.803480,0.032450
0.447134,0.552454,0.520890,0.439879,-0.574546,0.957429,1.343240,0.481636
0.339126,0.417601,0.427929,0.073477,-0.504949,1.601238,1.281880,0.366456
0.033909,0.316402,0.253887,0.128935,-0.804127,0.580613,1.317080,0.333427
0.533066,0.389793,0.966588,0.158402,-0.718592,0.750621,1.360600,0.378838
0.083805,0.549452,0.676122,0.364434,-0.244679,1.247038,0.613880,0.071476
0.807198,0.147895,0.064500,0.505765,-0.281110,1.042146,0.949240,0.218702
0.595437,0.151687,0.179934,0.251385,-0.597811,1.712021,0.937880,0.196957
